,index,chain,occurrences,chain_probability,strange_paths,harmful_processes,total_score
16,16,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk.exe', 'C:/Windows/System32/cmd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",4,0.019801980198019802,0,0.5,0.5440594059405941
17,17,"('C:/Windows/System32/findstr.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",4,0.019801980198019802,0,0.5,0.5440594059405941
18,15,"('C:/Windows/System32/reg.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",5,0.024752475247524754,0,0.5,0.5425742574257426
19,7,"('C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/btool.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunk.exe', 'C:/Windows/System32/cmd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",6,0.0297029702970297,0,0.5,0.5410891089108911
20,14,"('C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/btool.exe', 'C:/Windows/System32/cmd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunk.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunk.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",6,0.0297029702970297,0,0.5,0.5410891089108911
21,6,"('C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunk.exe', 'C:/Windows/System32/cmd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",6,0.0297029702970297,0,0.5,0.5410891089108911
22,13,"('C:/Windows/Microsoft.NET/Framework64/v4.0.30319/cvtres.exe', 'C:/Windows/Microsoft.NET/Framework64/v4.0.30319/csc.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",6,0.0297029702970297,0,0.5,0.5410891089108911
23,5,"('C:/Windows/Microsoft.NET/Framework64/v4.0.30319/cvtres.exe', 'C:/Windows/Microsoft.NET/Framework64/v4.0.30319/csc.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",8,0.039603960396039604,0,0.5,0.5381188118811882
24,4,"('C:/Windows/System32/cmd.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",9,0.04455445544554455,0,0.5,0.5366336633663367
25,3,"('C:/Windows/System32/chcp.com', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",9,0.04455445544554455,0,0.5,0.5366336633663367
26,2,"('C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/btool.exe', 'C:/Windows/System32/cmd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunk.exe', 'C:/Windows/System32/cmd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",10,0.04950495049504951,0,0.5,0.5351485148514852
27,0,"('C:/Windows/System32/cmd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",20,0.09900990099009901,0,0.5,0.5202970297029703
28,46,"('C:/Windows/ADWS/Microsoft.ActiveDirectory.WebServices.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
29,43,"('C:/Windows/sysmon64.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
30,63,"('C:/Windows/System32/wbem/WmiPrvSE.exe', 'C:/Windows/System32/svchost.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
31,61,"('C:/Windows/System32/msdtc.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
32,59,"('C:/Windows/System32/VSSVC.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
33,54,"('C:/Windows/servicing/TrustedInstaller.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
34,53,"('C:/Windows/WinSxS/amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.3926_none_7ec739a4221e2b99/TiWorker.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
35,51,"('C:/Windows/System32/spoolsv.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
36,50,"('C:/Program Files (x86)/nxlog/nxlog.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
37,49,"('C:/Program Files/Amazon/XenTools/LiteAgent.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
38,48,"('C:/Windows/System32/dns.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
39,47,"('C:/Windows/System32/ismserv.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
40,45,"('C:/Windows/System32/dfssvc.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
41,44,"('C:/Windows/System32/dfsrs.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
42,32,"('C:/Windows/System32/wbem/unsecapp.exe', 'C:/Windows/System32/svchost.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
43,42,"('C:/Windows/System32/wbem/unsecapp.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
44,37,"('C:/Windows/System32/lsass.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
45,41,"('C:/Windows/System32/vdsldr.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
46,35,"('C:/Windows/System32/dwm.exe', 'C:/Windows/System32/winlogon.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
47,36,"('C:/Windows/System32/LogonUI.exe', 'C:/Windows/System32/winlogon.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
48,33,"('C:/Windows/sysmon64.exe', 'C:/Windows/System32/services.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
49,38,"('C:/Windows/System32/autochk.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
50,39,"('C:/Program Files/Amazon/SSM/amazon-ssm-agent.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
51,40,"('C:/Windows/System32/vds.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.0,0.2985148514851485
52,27,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk-winevtlog.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",2,0.009900990099009901,0,0.0,0.297029702970297
53,24,"('C:/Windows/System32/csrss.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",2,0.009900990099009901,0,0.0,0.297029702970297
54,25,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk-wmi.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",2,0.009900990099009901,0,0.0,0.297029702970297
55,31,"('C:/Program Files/SplunkUniversalForwarder/etc/apps/Splunk_TA_stream/windows_x86_64/bin/streamfwd.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",2,0.009900990099009901,0,0.0,0.297029702970297
56,26,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk-perfmon.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",2,0.009900990099009901,0,0.0,0.297029702970297
57,28,"('C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",2,0.009900990099009901,0,0.0,0.297029702970297
58,21,"('C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",3,0.01485148514851485,0,0.0,0.29554455445544553
59,12,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk-winprintmon.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",6,0.0297029702970297,0,0.0,0.29108910891089107
60,11,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk-regmon.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",6,0.0297029702970297,0,0.0,0.29108910891089107
61,10,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk-admon.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",6,0.0297029702970297,0,0.0,0.29108910891089107
62,9,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk-netmon.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",6,0.0297029702970297,0,0.0,0.29108910891089107
63,8,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk-MonitorNoHandle.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",6,0.0297029702970297,0,0.0,0.29108910891089107
64,1,"('C:/Program Files/SplunkUniversalForwarder/bin/splunk-powershell.exe', 'C:/Program Files/SplunkUniversalForwarder/bin/splunkd.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",12,0.0594059405940594,0,0.0,0.28217821782178215
